timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626145254743,2359,Get Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,2359,0,1370
1626145254743,2359,Get Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,2359,0,1370
1626145310927,277,Get Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,277,0,242
1626145310927,297,Get Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,297,0,242
1626145311205,39,Post Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,38,0,0
1626145311224,30,Post Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,30,0,0
1626145311244,29,Get Book,503,Site Unavailable,Stress Test 1-1,text,false,,193,152,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=1,29,0,0
1626145311255,29,Get Book,503,Site Unavailable,Stress Test 1-2,text,false,,193,152,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=2,29,0,0
1626145311274,121,Delete Book,503,Site Unavailable,Stress Test 1-1,text,false,,193,242,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=1,121,0,0
1626145311285,119,Delete Book,503,Site Unavailable,Stress Test 1-2,text,false,,193,242,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=2,119,0,0
1626145311396,28,Get Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,28,0,0
1626145311405,29,Get Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,29,0,0
1626145311424,30,Post Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,30,0,0
1626145311435,40,Post Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,40,0,0
1626145311455,49,Get Book,503,Site Unavailable,Stress Test 1-1,text,false,,193,152,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=3,49,0,0
1626145311475,39,Get Book,503,Site Unavailable,Stress Test 1-2,text,false,,193,152,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=4,39,0,0
1626145311504,31,Delete Book,503,Site Unavailable,Stress Test 1-1,text,false,,193,242,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=3,31,0,0
1626145311514,30,Delete Book,503,Site Unavailable,Stress Test 1-2,text,false,,193,242,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=4,30,0,0
1626145311536,29,Get Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,29,0,0
1626145311545,33,Get Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,33,0,0
1626145311565,29,Post Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,29,0,0
1626145311579,35,Post Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,35,0,0
1626145311595,29,Get Book,503,Site Unavailable,Stress Test 1-1,text,false,,193,152,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=5,29,0,0
1626145311614,30,Get Book,503,Site Unavailable,Stress Test 1-2,text,false,,193,152,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=6,30,0,0
1626145311624,30,Delete Book,503,Site Unavailable,Stress Test 1-1,text,false,,193,242,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=5,30,0,0
1626145311645,29,Delete Book,503,Site Unavailable,Stress Test 1-2,text,false,,193,242,2,2,https://qualityrelease.azurewebsites.net/api/Books/?id=6,29,0,0
1626145311654,30,Get Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,30,0,0
1626145311675,29,Get Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,146,2,2,https://qualityrelease.azurewebsites.net/api/Books,29,0,0
1626145311685,30,Post Books,503,Site Unavailable,Stress Test 1-1,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,30,0,0
1626145311704,30,Post Books,503,Site Unavailable,Stress Test 1-2,text,false,,193,230,2,2,https://qualityrelease.azurewebsites.net/api/Books,30,0,0
